final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
28,0.601,0.312,25.3,19.7,21.3,15.8,31.8,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
28,0.6,0.358,25.3,18.8,21.7,15.9,33.2,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
28,0.6,0.358,25.3,18.8,22.2,16.0,34.7,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
28,0.6,0.358,25.3,18.8,21.3,15.8,31.8,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
28,0.602,0.267,25.2,20.7,21.7,15.9,33.2,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
28,0.602,0.267,25.2,20.7,22.2,16.0,34.7,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
28,0.602,0.267,25.2,20.7,21.3,15.8,31.8,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.601,0.312,25.3,19.7,21.7,15.9,33.2,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.601,0.312,25.3,19.7,22.2,16.0,34.7,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.601,0.312,25.3,19.7,21.3,15.8,31.8,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.6,0.358,25.3,18.8,21.7,15.9,33.2,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.6,0.358,25.3,18.8,22.2,16.0,34.7,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.6,0.358,25.3,18.8,21.3,15.8,31.8,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.602,0.267,25.2,20.7,21.7,15.9,33.2,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.602,0.267,25.2,20.7,22.2,16.0,34.7,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
19,0.602,0.267,25.2,20.7,21.3,15.8,31.8,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
