final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.701,0.101,10.3,13.3,4.1,2.7,17.0,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.701,0.101,10.3,13.3,5.7,4.0,16.0,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.713,0.098,9.3,11.3,4.6,3.1,16.7,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.713,0.098,9.3,11.3,4.1,2.7,17.0,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.713,0.098,9.3,11.3,5.7,4.0,16.0,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.682,0.107,12.5,17.7,4.6,3.1,16.7,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.682,0.107,12.5,17.7,4.1,2.7,17.0,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.682,0.107,12.5,17.7,5.7,4.0,16.0,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
8,0.701,0.101,10.3,13.3,4.6,3.1,16.7,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.701,0.101,10.3,13.3,4.1,2.7,17.0,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.701,0.101,10.3,13.3,5.7,4.0,16.0,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.713,0.098,9.3,11.3,4.6,3.1,16.7,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.713,0.098,9.3,11.3,4.1,2.7,17.0,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.713,0.098,9.3,11.3,5.7,4.0,16.0,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.682,0.107,12.5,17.7,4.6,3.1,16.7,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.682,0.107,12.5,17.7,4.1,2.7,17.0,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.682,0.107,12.5,17.7,5.7,4.0,16.0,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
